full_id,FMNH-INS#,drawer_id,tray_id,unit_barcode,full_taxonomy,genus,len1_mm,len2_mm,spec_area_mm2,geocode,loc_transcription,country,province_state,county,city,prec_location,elevation_fr,elevation_to,elevation_fr_ft,elevation_to_ft,site_num,habitat,microhabitat,collect_method,date_from,date_to,collectors,other_collect_nums,sex,latitude,longitude,specimen,specimen_condition,mask_condition,notes
34_4_10_tray_01_spec_018,4800246,34_4_10,34_4_10_tray_01,56607,Cicindela (Cicindela) hybrida,Cicindela,13.81395478,5.451860921,53.30129624,PAL,claude,Poland,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_01_spec_019,4800247,34_4_10,34_4_10_tray_01,56607,Cicindela (Cicindela) hybrida,Cicindela,13.68733444,5.106941149,48.9784268,PAL,claude,Poland,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_01_spec_020,4800248,34_4_10,34_4_10_tray_01,56607,Cicindela (Cicindela) hybrida,Cicindela,13.01050643,4.328851305,44.85751131,PAL,claude,Poland,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_01_spec_021,4800249,34_4_10,34_4_10_tray_01,56607,Cicindela (Cicindela) hybrida,Cicindela,12.85302908,4.902678492,46.1733545,PAL,claude,Poland,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_01_spec_022,4800250,34_4_10,34_4_10_tray_01,56607,Cicindela (Cicindela) hybrida,Cicindela,13.9662028,5.32643039,52.37432979,PAL,claude,,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_01_spec_023,4800251,34_4_10,34_4_10_tray_01,56607,Cicindela (Cicindela) hybrida,Cicindela,14.20087174,5.792033353,57.30837914,PAL,claude,Poland,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_01_spec_024,4800252,34_4_10,34_4_10_tray_01,56607,Cicindela (Cicindela) hybrida,Cicindela,13.62753919,4.847323023,49.41041927,PAL,claude,Poland,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_01_spec_025,4800253,34_4_10,34_4_10_tray_01,56607,Cicindela (Cicindela) hybrida,Cicindela,13.87030729,5.467349468,51.4400675,PAL,claude,Poland,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_01_spec_026,4800254,34_4_10,34_4_10_tray_01,56607,Cicindela (Cicindela) hybrida,Cicindela,12.47703108,4.914256116,42.65592753,PAL,claude,Poland,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_01_spec_027,4800255,34_4_10,34_4_10_tray_01,56607,Cicindela (Cicindela) hybrida,Cicindela,14.06181003,5.487033156,56.61703296,PAL,claude,Poland,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_01_spec_028,4800256,34_4_10,34_4_10_tray_01,56607,Cicindela (Cicindela) hybrida,Cicindela,13.19094303,5.120306134,48.9891508,PAL,claude,,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_01_spec_029,4800257,34_4_10,34_4_10_tray_01,56607,Cicindela (Cicindela) hybrida,Cicindela,14.01552268,5.449377377,54.97665702,PAL,claude,Poland,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_01_spec_030,4800258,34_4_10,34_4_10_tray_01,56607,Cicindela (Cicindela) hybrida,Cicindela,13.40865482,4.854797557,46.10865891,PAL,claude,Poland,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_01_spec_031,4800259,34_4_10,34_4_10_tray_01,56607,Cicindela (Cicindela) hybrida,Cicindela,14.26520593,5.525561866,57.07144035,PAL,claude,Poland,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_01_spec_032,4800260,34_4_10,34_4_10_tray_01,56607,Cicindela (Cicindela) hybrida,Cicindela,12.42387195,4.485852941,36.99866766,PAL,claude,,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_01_spec_033,4800261,34_4_10,34_4_10_tray_01,56607,Cicindela (Cicindela) hybrida,Cicindela,14.20072318,6.015627589,52.65372506,PAL,claude,Poland,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_01_spec_034,4800262,34_4_10,34_4_10_tray_01,56607,Cicindela (Cicindela) hybrida,Cicindela,13.73514066,5.362966303,51.06433206,PAL,claude,,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_01_spec_035,4800263,34_4_10,34_4_10_tray_01,56607,Cicindela (Cicindela) hybrida,Cicindela,13.88442932,5.401712757,54.54527986,PAL,claude,,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_01_spec_036,4800264,34_4_10,34_4_10_tray_01,56607,Cicindela (Cicindela) hybrida,Cicindela,13.45765353,4.685260895,47.57340743,PAL,claude,Poland,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_02_spec_001,4725481,34_4_10,34_4_10_tray_02,56600,Cicindela (Cicindela) hirticollis rhodensis,Cicindela,13.31830946,5.068126473,52.83075891,NEA,manual,United States of America,Michigan,,Pentwater,,,,,,,,,,,11-Jul-39,E. Liljeblad,,,43.7817078,-86.434319,Y,intact specimen,mask found,
34_4_10_tray_02_spec_002,4800265,34_4_10,34_4_10_tray_02,56600,Cicindela (Cicindela) hirticollis rhodensis,Cicindela,12.68957074,5.152692743,44.60707962,NEA,claude,,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_02_spec_003,4800266,34_4_10,34_4_10_tray_02,56600,Cicindela (Cicindela) hirticollis rhodensis,Cicindela,14.4193129,5.456115793,57.22008197,NEA,claude,,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_02_spec_004,4800267,34_4_10,34_4_10_tray_02,56600,Cicindela (Cicindela) hirticollis rhodensis,Cicindela,12.86503272,5.084369123,48.33441564,NEA,claude,,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_02_spec_005,4800268,34_4_10,34_4_10_tray_02,56600,Cicindela (Cicindela) hirticollis rhodensis,Cicindela,14.46424129,6.025905804,58.95068892,NEA,claude,,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_02_spec_006,4800269,34_4_10,34_4_10_tray_02,56600,Cicindela (Cicindela) hirticollis rhodensis,Cicindela,12.31343218,4.819789872,43.09512793,NEA,claude,,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_02_spec_007,4800270,34_4_10,34_4_10_tray_02,56600,Cicindela (Cicindela) hirticollis rhodensis,Cicindela,14.46319598,6.346503054,61.14124105,NEA,claude,,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_02_spec_008,4800271,34_4_10,34_4_10_tray_02,56600,Cicindela (Cicindela) hirticollis rhodensis,Cicindela,11.2081709,4.518701753,33.63128874,NEA,claude,,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_02_spec_009,4800272,34_4_10,34_4_10_tray_02,56600,Cicindela (Cicindela) hirticollis rhodensis,Cicindela,12.0074649,4.467198624,38.48086465,NEA,claude,,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_02_spec_010,4800273,34_4_10,34_4_10_tray_02,56600,Cicindela (Cicindela) hirticollis rhodensis,Cicindela,13.30416793,5.81482882,51.27059319,NEA,claude,,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_02_spec_011,4800274,34_4_10,34_4_10_tray_02,56600,Cicindela (Cicindela) hirticollis rhodensis,Cicindela,12.56717827,5.280411257,45.24405865,NEA,claude,,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_02_spec_012,4800275,34_4_10,34_4_10_tray_02,56600,Cicindela (Cicindela) hirticollis rhodensis,Cicindela,14.90040202,6.168943212,63.51234309,NEA,claude,,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_02_spec_013,4800276,34_4_10,34_4_10_tray_02,56600,Cicindela (Cicindela) hirticollis rhodensis,Cicindela,11.74516967,4.191054723,38.20445803,NEA,claude,,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_02_spec_014,4800277,34_4_10,34_4_10_tray_02,56600,Cicindela (Cicindela) hirticollis rhodensis,Cicindela,11.79531066,4.7464176,39.13349017,NEA,claude,,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_02_spec_015,4800278,34_4_10,34_4_10_tray_02,56600,Cicindela (Cicindela) hirticollis rhodensis,Cicindela,12.4069046,4.693649071,43.67250967,NEA,claude,,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_02_spec_016,4800279,34_4_10,34_4_10_tray_02,56600,Cicindela (Cicindela) hirticollis rhodensis,Cicindela,12.87941072,4.968326386,45.67939139,NEA,claude,,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_02_spec_017,4800280,34_4_10,34_4_10_tray_02,56600,Cicindela (Cicindela) hirticollis rhodensis,Cicindela,12.63289152,4.86104016,43.74054552,NEA,claude,,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_02_spec_018,4800281,34_4_10,34_4_10_tray_02,56600,Cicindela (Cicindela) hirticollis rhodensis,Cicindela,13.76456085,5.841712374,55.35445815,NEA,claude,,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_02_spec_019,4800282,34_4_10,34_4_10_tray_02,56600,Cicindela (Cicindela) hirticollis rhodensis,Cicindela,12.50938239,4.917850102,42.58327684,NEA,claude,,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_02_spec_020,4800283,34_4_10,34_4_10_tray_02,56600,Cicindela (Cicindela) hirticollis rhodensis,Cicindela,11.64561382,4.34268803,36.22566088,NEA,claude,,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_02_spec_021,4800284,34_4_10,34_4_10_tray_02,56600,Cicindela (Cicindela) hirticollis rhodensis,Cicindela,12.22493365,4.580441544,38.48657825,NEA,claude,,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_02_spec_022,4800285,34_4_10,34_4_10_tray_02,56600,Cicindela (Cicindela) hirticollis rhodensis,Cicindela,12.31990883,4.9341777,40.94210979,NEA,claude,,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_02_spec_023,4800286,34_4_10,34_4_10_tray_02,56600,Cicindela (Cicindela) hirticollis rhodensis,Cicindela,12.75929072,5.010432794,47.76235194,NEA,claude,,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_02_spec_024,4800287,34_4_10,34_4_10_tray_02,56600,Cicindela (Cicindela) hirticollis rhodensis,Cicindela,11.14758749,4.670397125,33.87297422,NEA,claude,,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_02_spec_025,4800288,34_4_10,34_4_10_tray_02,56600,Cicindela (Cicindela) hirticollis rhodensis,Cicindela,13.21407274,5.040142712,48.88911876,NEA,claude,,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_02_spec_026,4800289,34_4_10,34_4_10_tray_02,56600,Cicindela (Cicindela) hirticollis rhodensis,Cicindela,13.47250826,5.842374415,55.27108347,NEA,claude,,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_02_spec_027,4800290,34_4_10,34_4_10_tray_02,56600,Cicindela (Cicindela) hirticollis rhodensis,Cicindela,13.20525241,6.176056514,52.67416219,NEA,claude,,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_02_spec_028,4800291,34_4_10,34_4_10_tray_02,56600,Cicindela (Cicindela) hirticollis rhodensis,Cicindela,14.90265538,5.826585365,60.89261134,NEA,claude,,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_02_spec_029,4800292,34_4_10,34_4_10_tray_02,56600,Cicindela (Cicindela) hirticollis rhodensis,Cicindela,12.93408215,5.177709266,47.34903856,NEA,claude,,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_02_spec_030,4800293,34_4_10,34_4_10_tray_02,56600,Cicindela (Cicindela) hirticollis rhodensis,Cicindela,13.27384986,5.124544692,46.89942181,NEA,claude,,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_02_spec_031,4800294,34_4_10,34_4_10_tray_02,56600,Cicindela (Cicindela) hirticollis rhodensis,Cicindela,12.01806042,5.371196206,44.94958825,NEA,claude,,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_02_spec_032,4800295,34_4_10,34_4_10_tray_02,56600,Cicindela (Cicindela) hirticollis rhodensis,Cicindela,13.90783727,5.648438468,52.36896779,NEA,claude,,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_03_spec_001,4725471,34_4_10,34_4_10_tray_03,56612,Cicindela (Cicindelidia) hemorrhagica hemorrhagica,Cicindela,10.54000189,3.815863491,28.63935617,NEA,manual,United States of America,California,,Lake Elsinore,,,,,,,,,,,4-Jul-50,,,,33.6663442,-117.31919,Y,intact specimen,mask found,
34_4_10_tray_03_spec_002,4800296,34_4_10,34_4_10_tray_03,56612,Cicindela (Cicindelidia) hemorrhagica hemorrhagica,Cicindela,10.39815043,3.933301359,28.59584488,NEA,claude,,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_03_spec_003,4800297,34_4_10,34_4_10_tray_03,56612,Cicindela (Cicindelidia) hemorrhagica hemorrhagica,Cicindela,10.74984016,3.555115389,30.09386415,NEA,claude,,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_03_spec_004,4800298,34_4_10,34_4_10_tray_03,56612,Cicindela (Cicindelidia) hemorrhagica hemorrhagica,Cicindela,11.4846489,4.042715274,34.47373779,NEA,claude,,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_03_spec_005,4800299,34_4_10,34_4_10_tray_03,56612,Cicindela (Cicindelidia) hemorrhagica hemorrhagica,Cicindela,10.57826222,4.011370508,32.25870506,NEA,claude,,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_03_spec_006,4800300,34_4_10,34_4_10_tray_03,56612,Cicindela (Cicindelidia) hemorrhagica hemorrhagica,Cicindela,9.532357029,3.650427472,25.95818119,NEA,claude,,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_03_spec_007,4800301,34_4_10,34_4_10_tray_03,56612,Cicindela (Cicindelidia) hemorrhagica hemorrhagica,Cicindela,10.89428567,4.028415566,33.02002093,NEA,claude,,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_03_spec_008,4800302,34_4_10,34_4_10_tray_03,56612,Cicindela (Cicindelidia) hemorrhagica hemorrhagica,Cicindela,10.0484677,4.057127078,28.42492019,NEA,claude,United States of America,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_03_spec_009,4800303,34_4_10,34_4_10_tray_03,56612,Cicindela (Cicindelidia) hemorrhagica hemorrhagica,Cicindela,11.67967739,4.77994002,34.38319913,NEA,claude,,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_03_spec_010,4800304,34_4_10,34_4_10_tray_03,56612,Cicindela (Cicindelidia) hemorrhagica hemorrhagica,Cicindela,12.0653993,5.19770344,41.34078755,NEA,claude,United States of America,California,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_03_spec_011,4800305,34_4_10,34_4_10_tray_03,56612,Cicindela (Cicindelidia) hemorrhagica hemorrhagica,Cicindela,11.62249763,4.313197543,35.96340642,NEA,claude,,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_03_spec_012,4800306,34_4_10,34_4_10_tray_03,56612,Cicindela (Cicindelidia) hemorrhagica hemorrhagica,Cicindela,12.10443704,4.481029906,36.48751978,NEA,claude,,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_03_spec_013,4800307,34_4_10,34_4_10_tray_03,56612,Cicindela (Cicindelidia) hemorrhagica hemorrhagica,Cicindela,11.05442419,4.273467782,32.50667551,NEA,claude,,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_03_spec_014,4800308,34_4_10,34_4_10_tray_03,56612,Cicindela (Cicindelidia) hemorrhagica hemorrhagica,Cicindela,10.15578516,3.840100844,28.57597911,NEA,claude,,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_03_spec_015,4800309,34_4_10,34_4_10_tray_03,56612,Cicindela (Cicindelidia) hemorrhagica hemorrhagica,Cicindela,11.49146262,4.235648602,36.65611507,NEA,claude,,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_03_spec_016,4800310,34_4_10,34_4_10_tray_03,56612,Cicindela (Cicindelidia) hemorrhagica hemorrhagica,Cicindela,12.39750647,5.094188209,44.1835257,NEA,claude,,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_03_spec_017,4800311,34_4_10,34_4_10_tray_03,56612,Cicindela (Cicindelidia) hemorrhagica hemorrhagica,Cicindela,13.20965499,5.109591137,46.22675473,NEA,claude,,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_03_spec_018,4800312,34_4_10,34_4_10_tray_03,56612,Cicindela (Cicindelidia) hemorrhagica hemorrhagica,Cicindela,11.37757779,4.234631593,35.36374162,NEA,claude,,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_03_spec_019,4800313,34_4_10,34_4_10_tray_03,56612,Cicindela (Cicindelidia) hemorrhagica hemorrhagica,Cicindela,12.99542122,4.660939399,42.3816745,NEA,claude,United States of America,Oregon,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_03_spec_020,4800314,34_4_10,34_4_10_tray_03,56612,Cicindela (Cicindelidia) hemorrhagica hemorrhagica,Cicindela,11.79009293,3.957607977,35.9049958,NEA,claude,,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_03_spec_021,4800315,34_4_10,34_4_10_tray_03,56612,Cicindela (Cicindelidia) hemorrhagica hemorrhagica,Cicindela,13.38031128,4.944490625,49.88236303,NEA,claude,,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_03_spec_022,4800316,34_4_10,34_4_10_tray_03,56612,Cicindela (Cicindelidia) hemorrhagica hemorrhagica,Cicindela,11.20001159,4.339346932,33.73132078,NEA,claude,,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_03_spec_023,4800317,34_4_10,34_4_10_tray_03,56612,Cicindela (Cicindelidia) hemorrhagica hemorrhagica,Cicindela,12.21324734,4.675823835,40.3184918,NEA,claude,,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_03_spec_024,4800318,34_4_10,34_4_10_tray_03,56612,Cicindela (Cicindelidia) hemorrhagica hemorrhagica,Cicindela,11.20406061,4.582062866,36.26033806,NEA,claude,,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_03_spec_025,4800319,34_4_10,34_4_10_tray_03,56612,Cicindela (Cicindelidia) hemorrhagica hemorrhagica,Cicindela,12.60699804,4.750906473,43.00872065,NEA,claude,,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_03_spec_026,4800320,34_4_10,34_4_10_tray_03,56612,Cicindela (Cicindelidia) hemorrhagica hemorrhagica,Cicindela,13.07338983,4.197436333,38.90837414,NEA,claude,United States of America,Washington,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_03_spec_027,4800321,34_4_10,34_4_10_tray_03,56612,Cicindela (Cicindelidia) hemorrhagica hemorrhagica,Cicindela,11.4578867,4.284345305,37.26351522,NEA,claude,,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_03_spec_028,4800322,34_4_10,34_4_10_tray_03,56612,Cicindela (Cicindelidia) hemorrhagica hemorrhagica,Cicindela,11.84072296,4.144910401,37.62830691,NEA,claude,United States of America,Oregon,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_03_spec_029,4800323,34_4_10,34_4_10_tray_03,56612,Cicindela (Cicindelidia) hemorrhagica hemorrhagica,Cicindela,11.97740924,4.576563393,38.54745012,NEA,claude,,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_03_spec_030,4800324,34_4_10,34_4_10_tray_03,56612,Cicindela (Cicindelidia) hemorrhagica hemorrhagica,Cicindela,13.09342457,5.340003245,48.42767925,NEA,claude,,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_03_spec_031,4800325,34_4_10,34_4_10_tray_03,56612,Cicindela (Cicindelidia) hemorrhagica hemorrhagica,Cicindela,12.71484671,5.034130943,44.01018372,NEA,claude,,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_03_spec_032,4800326,34_4_10,34_4_10_tray_03,56612,Cicindela (Cicindelidia) hemorrhagica hemorrhagica,Cicindela,11.6224636,4.296965148,37.36130576,NEA,claude,,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_03_spec_033,4800327,34_4_10,34_4_10_tray_03,56612,Cicindela (Cicindelidia) hemorrhagica hemorrhagica,Cicindela,11.85735885,4.434810735,37.9986364,NEA,claude,,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_03_spec_034,4800328,34_4_10,34_4_10_tray_03,56612,Cicindela (Cicindelidia) hemorrhagica hemorrhagica,Cicindela,11.71498132,4.470778426,38.43678199,NEA,claude,,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_04_spec_001,4800329,34_4_10,34_4_10_tray_04,56608,Cicindela (Cicindela) hybrida hybrida,Cicindela,13.69952782,5.275789766,52.88495026,PAL,claude,,,,,,,,,,,,,,,,,,,,,Y,intact specimen,mask found,
34_4_10_tray_04_spec_002,4725489,34_4_10,34_4_10_tray_04,56608,Cicindela (Cicindela) hybrida hybrida,Cicindela,13.28016259,5.257288253,47.92835414,PAL,manual,Poland,,,Warsaw,Wawer,,,,,,,,,,17-May-38,,,,52.1956988,21.1792957,Y,intact specimen,mask found,
