tray_id,specimen_id,label_group,match_type,verbatim_text,country,stateProvince,county,municipality,verbatimLocality,locality,waterBody,islandGroup,island,verbatimElevation,habitat,samplingProtocol,collector,verbatimEventDate,identifiedBy,verbatimCoordinates,possibleName,flags,source,human_corrections
cicindelidae_34_4_10_tray_01,cicindelidae_34_4_10_tray_01_spec_011,9,unique,POLA[ND] | B. and. Mulkin,Poland,,,,POLAND: B. and. Mulkin,B. and. Mulkin,,,,,,,,,,,,,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_01,cicindelidae_34_4_10_tray_01_spec_012,10,unique,POLAND: P[...] | Ka[...] | wo[...] | N.e. 17[?],Poland,,,,POLAND: Ka[...] wo[...] N.e. 17,,,,,,,,,,,,,,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_01,cicindelidae_34_4_10_tray_01_spec_013,11,unique,POLAND[...] | B. and [illeg.] kin | B. and[...] kin,Poland,,,,POLAND: B. and  kin,,,,,,,,,,,,,,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_01,cicindelidae_34_4_10_tray_01_spec_014,12,unique,B. and [illeg.] | POL[AND] [illeg.] | [illeg.] zki.,Poland,,,,POLAND: B. and  zki.,,,,,,,,,,,,,,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_01,cicindelidae_34_4_10_tray_01_spec_015,13,unique,POLAND | wo[...] | 2[?] [illeg.] | B. and[...] | [illeg.] ki.,Poland,,,,POLAND: wo[...] B. and[...] ki.,,,,,,,,,,,,,,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_01,cicindelidae_34_4_10_tray_01_spec_016,14,unique,P[OLAND] | [illeg.] uikin,Poland,,,,POLAND:  uikin,,,,,,,,,,,,,,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_01,cicindelidae_34_4_10_tray_01_spec_017,15,unique,POLAND[...] | B. and[...] | wo[...] | [illeg.],Poland,,,,POLAND: B. and[...] wo[...],,,,,,,,,,,,,,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_01,cicindelidae_34_4_10_tray_01_spec_018,16,unique,POLAND: [illeg.] | B. [illeg.] | wo[...] | [illeg.] k[i?],Poland,,,,POLAND: B.  wo[...] ki.,,,,,,,,,,,,,,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_01,cicindelidae_34_4_10_tray_01_spec_019,17,unique,POLAND[...] | B. and[...] | [illeg.] iezki. | [illeg.],Poland,,,,POLAND: B. and[...] iezki.,,,,,,,,,,,,,,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_01,cicindelidae_34_4_10_tray_01_spec_020,18,unique,POLAND: Z[...] | B[...] | vo[...] | [illeg.] 3[?] | [illeg.] o2[?] [illeg.],Poland,,,,POLAND: Z[...] B[...] vo[...],,,,,,,,,,,,,,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_01,cicindelidae_34_4_10_tray_01_spec_021,19,unique,POLAND: Z[...] | B[...] | [illeg.] lk[?] | [illeg.] to[?] [illeg.],Poland,,,,POLAND: Z[...] B[...],,,,,,,,,,,,,,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_01,cicindelidae_34_4_10_tray_01_spec_022,20,unique,POLAND[...] | B[...] | [illeg.] 2[?] b[?] [illeg.] ki.,Poland,,,,POLAND: B[...] ki.,,,,,,,,,,,,,,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_01,cicindelidae_34_4_10_tray_01_spec_023,23,similar,POLAND: T[ru?]skaw. / Pu[lnosk?] | B. [illeg.],Poland,,,,T[ru?]skaw. / Pu[lnosk?],Truskaw / Pulnoska,,,,,,,,,,,B.,,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_01,cicindelidae_34_4_10_tray_01_spec_024,23,similar,POLAND: T[ru?]skaw. / Pu[lnosk?] | B. [illeg.],Poland,,,,T[ru?]skaw. / Pu[lnosk?],Truskaw / Pulnoska,,,,,,,,,,,B.,,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_01,cicindelidae_34_4_10_tray_01_spec_025,24,similar,POLAND: /Pu[skaw?] [illeg.]nosk[a] | B. [illeg.] [illeg.]kin,Poland,,,,/Pu[skaw?] noska,Puskaw / Pulonoska,,,,,,,,,,,B.,,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_01,cicindelidae_34_4_10_tray_01_spec_026,24,similar,POLAND: /Pu[skaw?] [illeg.]nosk[a] | B. [illeg.] [illeg.]kin,Poland,,,,/Pu[skaw?] noska,Puskaw / Pulonoska,,,,,,,,,,,B.,,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_01,cicindelidae_34_4_10_tray_01_spec_027,25,similar,POLAND: Z[illeg.] | B. [illeg.]kin,Poland,,,,Z,,,,,,,,,,,,B.,,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_01,cicindelidae_34_4_10_tray_01_spec_028,25,similar,POLAND: Z[illeg.] | B. [illeg.]kin,Poland,,,,Z,,,,,,,,,,,,B.,,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_01,cicindelidae_34_4_10_tray_01_spec_029,25,similar,POLAND: Z[illeg.] | B. [illeg.]kin,Poland,,,,Z,,,,,,,,,,,,B.,,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_01,cicindelidae_34_4_10_tray_01_spec_030,24,similar,POLAND: /Pu[skaw?] [illeg.]nosk[a] | B. [illeg.] [illeg.]kin,Poland,,,,/Pu[skaw?] noska,Puskaw / Pulonoska,,,,,,,,,,,B.,,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_01,cicindelidae_34_4_10_tray_01_spec_031,26,similar,POLAND: T[ru]sk[aw?] | B. and[?] [illeg.] v. [o]sk[a] 3,Poland,,,,T[ru]sk[aw?] v. oska,Truskaw,,,,,,,,,,,B.,,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_01,cicindelidae_34_4_10_tray_01_spec_032,27,similar,POLAND: Truskaw. / Pulnoska | B. and[?] [illeg.] 08[?] 3,Poland,,,,Truskaw. / Pulnoska,Truskaw / Pulnoska,,,,,,,,,,,B.,,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_01,cicindelidae_34_4_10_tray_01_spec_033,26,similar,POLAND: T[ru]sk[aw?] | B. and[?] [illeg.] v. [o]sk[a] 3,Poland,,,,T[ru]sk[aw?] v. oska,Truskaw,,,,,,,,,,,B.,,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_01,cicindelidae_34_4_10_tray_01_spec_034,27,similar,POLAND: Truskaw. / Pulnoska | B. and[?] [illeg.] 08[?] 3,Poland,,,,Truskaw. / Pulnoska,Truskaw / Pulnoska,,,,,,,,,,,B.,,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_01,cicindelidae_34_4_10_tray_01_spec_035,27,similar,POLAND: Truskaw. / Pulnoska | B. and[?] [illeg.] 08[?] 3,Poland,,,,Truskaw. / Pulnoska,Truskaw / Pulnoska,,,,,,,,,,,B.,,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_01,cicindelidae_34_4_10_tray_01_spec_036,28,unique,POLAND: /A[illeg.] [illeg.] | B. [illeg.] [illeg.]kar[?] [illeg.]oski[?],Poland,,,,/A,,,,,,,,,,,,B.,,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_02,cicindelidae_34_4_10_tray_02_spec_001,,no_text_detected,,,,,,,,,,,,,,,,,,,no_text,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_02,cicindelidae_34_4_10_tray_02_spec_002,,no_text_detected,,,,,,,,,,,,,,,,,,,no_text,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_02,cicindelidae_34_4_10_tray_02_spec_003,,no_text_detected,,,,,,,,,,,,,,,,,,,no_text,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_02,cicindelidae_34_4_10_tray_02_spec_004,1,unique,Roun[d] [S]tone n. | [illeg.] | S,,,,,Roun[d] [S]tone n.,Round Stone,,,,,,,,,,,,ambiguous_locality,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_02,cicindelidae_34_4_10_tray_02_spec_005,,no_text_detected,,,,,,,,,,,,,,,,,,,no_text,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_02,cicindelidae_34_4_10_tray_02_spec_006,2,unique,C[icindela] h[irticollis] | det. H. L. M[?] | [19]65 | S,,,,,,,,,,,,,,,H. L. M,,,,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_02,cicindelidae_34_4_10_tray_02_spec_007,,no_text_detected,,,,,,,,,,,,,,,,,,,no_text,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_02,cicindelidae_34_4_10_tray_02_spec_008,3,unique,Cicindela [hirticollis?] | [P?] | [1965?] | S,,,,,,,,,,,,,,1965,,,,,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_02,cicindelidae_34_4_10_tray_02_spec_009,4,unique,C[icindela] h[irticollis] | [illeg.] | [19]65 | S,,,,,,,,,,,,,,1965,,,,,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_02,cicindelidae_34_4_10_tray_02_spec_010,,no_text_detected,,,,,,,,,,,,,,,,,,,no_text,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_02,cicindelidae_34_4_10_tray_02_spec_011,,no_text_detected,,,,,,,,,,,,,,,,,,,no_text,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_02,cicindelidae_34_4_10_tray_02_spec_012,,no_text_detected,,,,,,,,,,,,,,,,,,,no_text,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_02,cicindelidae_34_4_10_tray_02_spec_013,,no_text_detected,,,,,,,,,,,,,,,,,,,no_text,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_02,cicindelidae_34_4_10_tray_02_spec_014,14,unique,C[icindela] h[irticollis] | [illeg.] | [196?] | S,,,,,,,,,,,,,,,,,,,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_02,cicindelidae_34_4_10_tray_02_spec_015,,no_text_detected,,,,,,,,,,,,,,,,,,,no_text,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_02,cicindelidae_34_4_10_tray_02_spec_016,5,unique,C[icindela] h[irticollis] | Mar[?] | on lo[ng?] | Ro[und?] | S,,,,,on lo[ng?],,,,,,,,,,,,Mar,,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_02,cicindelidae_34_4_10_tray_02_spec_017,6,unique,det. Cicindela h[irticollis] | [illeg.] | [19]65 | S,,,,,,,,,,,,,,1965,,,,,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_02,cicindelidae_34_4_10_tray_02_spec_018,,no_text_detected,,,,,,,,,,,,,,,,,,,no_text,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_02,cicindelidae_34_4_10_tray_02_spec_019,,no_text_detected,,,,,,,,,,,,,,,,,,,no_text,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_02,cicindelidae_34_4_10_tray_02_spec_020,,no_text_detected,,,,,,,,,,,,,,,,,,,no_text,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_02,cicindelidae_34_4_10_tray_02_spec_021,9,unique,C[icindela] h[irticollis] | Pen[nsylvania?] | H[?] Ch[?] | on lo[ng?] | 1965 | S,,,,,Pen on lo[ng?],,,,,,,,,1965,,,,,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_02,cicindelidae_34_4_10_tray_02_spec_022,8,unique,C[icindela] h[irticollis] | det. H. L. [M?] | Collection | on lo[ng?] | [1965?] | S,,,,,on lo[ng?],,,,,,,,,1965,H. L. M,,,,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_02,cicindelidae_34_4_10_tray_02_spec_023,7,unique,[C. hirticollis?] | [196?] | S,,,,,,,,,,,,,,,,,,,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_02,cicindelidae_34_4_10_tray_02_spec_024,10,unique,Ro[und?] P[?] | C[icindela] h[irticollis] | [illeg.] | on [lo?] | S,,,,,Ro[und?] P on [lo?],,,,,,,,,,,,,,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_02,cicindelidae_34_4_10_tray_02_spec_025,,no_text_detected,,,,,,,,,,,,,,,,,,,no_text,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_02,cicindelidae_34_4_10_tray_02_spec_026,,no_text_detected,,,,,,,,,,,,,,,,,,,no_text,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_02,cicindelidae_34_4_10_tray_02_spec_027,,no_text_detected,,,,,,,,,,,,,,,,,,,no_text,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_02,cicindelidae_34_4_10_tray_02_spec_028,,no_text_detected,,,,,,,,,,,,,,,,,,,no_text,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_02,cicindelidae_34_4_10_tray_02_spec_029,11,unique,Cicindela [hirticollis?] | M[?] | S,,,,,,,,,,,,,,,,,,,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_02,cicindelidae_34_4_10_tray_02_spec_030,,no_text_detected,,,,,,,,,,,,,,,,,,,no_text,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_02,cicindelidae_34_4_10_tray_02_spec_031,12,unique,C[icindela] h[irticollis] | det. [?] | H. T. L. [?] | G[?] | S,,,,,,,,,,,,,,,H. T. L.,,,,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_02,cicindelidae_34_4_10_tray_02_spec_032,13,unique,Cicindela h[irticollis] | [1965?] | S,,,,,,,,,,,,,,1965,,,,,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_03,cicindelidae_34_4_10_tray_03_spec_001,1,identical,U.S.A. C[al.] | [El]sinore,United States,California,,Elsinore,U.S.A. Cal. Elsinore,,,,,,,,,,,,,,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_03,cicindelidae_34_4_10_tray_03_spec_002,,no_text_detected,,,,,,,,,,,,,,,,,,,no_text,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_03,cicindelidae_34_4_10_tray_03_spec_003,1,identical,U.S.A. C[al.] | [El]sinore,United States,California,,Elsinore,U.S.A. Cal. Elsinore,,,,,,,,,,,,,,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_03,cicindelidae_34_4_10_tray_03_spec_004,,no_text_detected,,,,,,,,,,,,,,,,,,,no_text,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_03,cicindelidae_34_4_10_tray_03_spec_005,1,identical,U.S.A. C[al.] | [El]sinore,United States,California,,Elsinore,U.S.A. Cal. Elsinore,,,,,,,,,,,,,,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_03,cicindelidae_34_4_10_tray_03_spec_006,1,identical,U.S.A. C[al.] | [El]sinore,United States,California,,Elsinore,U.S.A. Cal. Elsinore,,,,,,,,,,,,,,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_03,cicindelidae_34_4_10_tray_03_spec_007,1,identical,U.S.A. C[al.] | [El]sinore,United States,California,,Elsinore,U.S.A. Cal. Elsinore,,,,,,,,,,,,,,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_03,cicindelidae_34_4_10_tray_03_spec_008,1,identical,U.S.A. C[al.] | [El]sinore,United States,California,,Elsinore,U.S.A. Cal. Elsinore,,,,,,,,,,,,,,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_03,cicindelidae_34_4_10_tray_03_spec_009,,no_text_detected,,,,,,,,,,,,,,,,,,,no_text,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_03,cicindelidae_34_4_10_tray_03_spec_010,1,identical,U.S.A. C[al.] | [El]sinore,United States,California,,Elsinore,U.S.A. Cal. Elsinore,,,,,,,,,,,,,,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_03,cicindelidae_34_4_10_tray_03_spec_011,,no_text_detected,,,,,,,,,,,,,,,,,,,no_text,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_03,cicindelidae_34_4_10_tray_03_spec_012,,no_text_detected,,,,,,,,,,,,,,,,,,,no_text,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_03,cicindelidae_34_4_10_tray_03_spec_013,,no_text_detected,,,,,,,,,,,,,,,,,,,no_text,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_03,cicindelidae_34_4_10_tray_03_spec_014,,no_text_detected,,,,,,,,,,,,,,,,,,,no_text,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_03,cicindelidae_34_4_10_tray_03_spec_015,,no_text_detected,,,,,,,,,,,,,,,,,,,no_text,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_03,cicindelidae_34_4_10_tray_03_spec_016,,no_text_detected,,,,,,,,,,,,,,,,,,,no_text,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_03,cicindelidae_34_4_10_tray_03_spec_017,,no_text_detected,,,,,,,,,,,,,,,,,,,no_text,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_03,cicindelidae_34_4_10_tray_03_spec_018,,no_text_detected,,,,,,,,,,,,,,,,,,,no_text,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_03,cicindelidae_34_4_10_tray_03_spec_019,2,unique,ORE. | Berrys [?] larbe[?] | Cu[?],United States,Oregon,,,ORE. Berrys,,,,,,,,,,,,,,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_03,cicindelidae_34_4_10_tray_03_spec_020,3,unique,M. [illeg.] | FIELD MUSEUM | [19]99 | [illeg.],,,,,,,,,,,,,,,,,M.,,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_03,cicindelidae_34_4_10_tray_03_spec_021,,no_text_detected,,,,,,,,,,,,,,,,,,,no_text,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_03,cicindelidae_34_4_10_tray_03_spec_022,4,unique,[illeg.] 86 [?] | C[icindela] [illeg.] | Det. C[?] [illeg.],,,,,,,,,,,,,,,,,,,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_03,cicindelidae_34_4_10_tray_03_spec_023,,no_text_detected,,,,,,,,,,,,,,,,,,,no_text,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_03,cicindelidae_34_4_10_tray_03_spec_024,,no_text_detected,,,,,,,,,,,,,,,,,,,no_text,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_03,cicindelidae_34_4_10_tray_03_spec_025,,no_text_detected,,,,,,,,,,,,,,,,,,,no_text,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_03,cicindelidae_34_4_10_tray_03_spec_026,5,unique,N[.M.?] | Nellie[?] W[ash.?] | [illeg.] n,United States,,,,N[.M.?] Nellie Wash.,,,,,,,,,,,,,,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_03,cicindelidae_34_4_10_tray_03_spec_027,6,unique,N[.M.?] | [B]RY [?] [illeg.] | C[icindela] [illeg.] n,United States,,,,N[.M.?],,,,,,,,,,,,,,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_03,cicindelidae_34_4_10_tray_03_spec_028,7,unique,"N[.M.?] [illeg.] | Umatilla, Ore. | July [?] | Cicindela [illeg.]",United States,Oregon,Umatilla,Umatilla,"Umatilla, Ore.",,,,,,,,,July,,,,,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_03,cicindelidae_34_4_10_tray_03_spec_029,8,unique,N[.M.?] EL[?] | N[.M.?] C[icindela?] | [illeg.] | Cicindela [illeg.] d.,,,,,,,,,,,,,,,,,,,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_03,cicindelidae_34_4_10_tray_03_spec_030,,no_text_detected,,,,,,,,,,,,,,,,,,,no_text,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_03,cicindelidae_34_4_10_tray_03_spec_031,9,unique,N.M. Dawe[?] | [illeg.],United States,New Mexico,,,N.M. Dawe,,,,,,,,,,,,,,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_03,cicindelidae_34_4_10_tray_03_spec_032,10,unique,FIELD MUSEUM | [19][?] | n. 3 n.,,,,,,,,,,,,,,,,,,,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_03,cicindelidae_34_4_10_tray_03_spec_033,,no_text_detected,,,,,,,,,,,,,,,,,,,no_text,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_03,cicindelidae_34_4_10_tray_03_spec_034,,no_text_detected,,,,,,,,,,,,,,,,,,,no_text,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_04,cicindelidae_34_4_10_tray_04_spec_001,,no_text_detected,,,,,,,,,,,,,,,,,,,no_text,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_04,cicindelidae_34_4_10_tray_04_spec_002,,no_text_detected,,,,,,,,,,,,,,,,,,,no_text,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_04,cicindelidae_34_4_10_tray_04_spec_003,,no_text_detected,,,,,,,,,,,,,,,,,,,no_text,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_04,cicindelidae_34_4_10_tray_04_spec_004,,no_text_detected,,,,,,,,,,,,,,,,,,,no_text,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_04,cicindelidae_34_4_10_tray_04_spec_005,,no_text_detected,,,,,,,,,,,,,,,,,,,no_text,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_04,cicindelidae_34_4_10_tray_04_spec_006,,no_text_detected,,,,,,,,,,,,,,,,,,,no_text,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_04,cicindelidae_34_4_10_tray_04_spec_007,,no_text_detected,,,,,,,,,,,,,,,,,,,no_text,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_04,cicindelidae_34_4_10_tray_04_spec_008,,no_text_detected,,,,,,,,,,,,,,,,,,,no_text,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_04,cicindelidae_34_4_10_tray_04_spec_009,,no_text_detected,,,,,,,,,,,,,,,,,,,no_text,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_04,cicindelidae_34_4_10_tray_04_spec_010,,no_text_detected,,,,,,,,,,,,,,,,,,,no_text,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_04,cicindelidae_34_4_10_tray_04_spec_011,1,similar,POLAND: Kam[p?] woj. [illeg.],Poland,,,,POLAND: Kam[p?] woj.,,,,,,,,,,,,,,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_04,cicindelidae_34_4_10_tray_04_spec_012,1,similar,POLAND: Kam[p?] woj. [illeg.],Poland,,,,POLAND: Kam[p?] woj.,,,,,,,,,,,,,,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_04,cicindelidae_34_4_10_tray_04_spec_013,1,similar,POLAND: Kam[p?] woj. [illeg.],Poland,,,,POLAND: Kam[p?] woj.,,,,,,,,,,,,,,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_04,cicindelidae_34_4_10_tray_04_spec_014,,no_text_detected,,,,,,,,,,,,,,,,,,,no_text,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_04,cicindelidae_34_4_10_tray_04_spec_015,2,similar,GERMANY [illeg.],Germany,,,,GERMANY,,,,,,,,,,,,,,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_04,cicindelidae_34_4_10_tray_04_spec_016,,no_text_detected,,,,,,,,,,,,,,,,,,,no_text,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_04,cicindelidae_34_4_10_tray_04_spec_017,2,similar,GERMANY [illeg.],Germany,,,,GERMANY,,,,,,,,,,,,,,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_04,cicindelidae_34_4_10_tray_04_spec_018,,no_text_detected,,,,,,,,,,,,,,,,,,,no_text,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_04,cicindelidae_34_4_10_tray_04_spec_019,,no_text_detected,,,,,,,,,,,,,,,,,,,no_text,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_04,cicindelidae_34_4_10_tray_04_spec_020,,no_text_detected,,,,,,,,,,,,,,,,,,,no_text,claude-sonnet-4-6,FALSE
cicindelidae_34_4_10_tray_04,cicindelidae_34_4_10_tray_04_spec_021,,no_text_detected,,,,,,,,,,,,,,,,,,,no_text,claude-sonnet-4-6,FALSE
