full_id,tray_id,country_transc,country_est,country_all,continent,latitude,longitude,country_source,transcription_from,,,,,,,,,,,,,,,,,
34_4_10_tray_01_spec_027,34_4_10_tray_01,Poland,transcribed,Poland,Europe,,,transcribed,claude,,,,,,,,,,,,,,,,,
34_4_10_tray_01_spec_028,34_4_10_tray_01,,Poland,Poland,Europe,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_01_spec_029,34_4_10_tray_01,Poland,transcribed,Poland,Europe,,,transcribed,claude,,,,,,,,,,,,,,,,,
34_4_10_tray_01_spec_030,34_4_10_tray_01,Poland,transcribed,Poland,Europe,,,transcribed,claude,,,,,,,,,,,,,,,,,
34_4_10_tray_01_spec_031,34_4_10_tray_01,Poland,transcribed,Poland,Europe,,,transcribed,claude,,,,,,,,,,,,,,,,,
34_4_10_tray_01_spec_032,34_4_10_tray_01,,Poland,Poland,Europe,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_01_spec_033,34_4_10_tray_01,Poland,transcribed,Poland,Europe,,,transcribed,claude,,,,,,,,,,,,,,,,,
34_4_10_tray_01_spec_034,34_4_10_tray_01,,Poland,Poland,Europe,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_01_spec_035,34_4_10_tray_01,,Poland,Poland,Europe,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_01_spec_036,34_4_10_tray_01,Poland,transcribed,Poland,Europe,,,transcribed,claude,,,,,,,,,,,,,,,,,
34_4_10_tray_02_spec_001,34_4_10_tray_02,United States of America,transcribed,United States of America,North America,43.7817078,-86.434319,transcribed,manual,,,,,,,,,,,,,,,,,
34_4_10_tray_02_spec_002,34_4_10_tray_02,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_02_spec_003,34_4_10_tray_02,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_02_spec_004,34_4_10_tray_02,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_02_spec_005,34_4_10_tray_02,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_02_spec_006,34_4_10_tray_02,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_02_spec_007,34_4_10_tray_02,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_02_spec_008,34_4_10_tray_02,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_02_spec_009,34_4_10_tray_02,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_02_spec_010,34_4_10_tray_02,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_02_spec_011,34_4_10_tray_02,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_02_spec_012,34_4_10_tray_02,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_02_spec_013,34_4_10_tray_02,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_02_spec_014,34_4_10_tray_02,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_02_spec_015,34_4_10_tray_02,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_02_spec_016,34_4_10_tray_02,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_02_spec_017,34_4_10_tray_02,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_02_spec_018,34_4_10_tray_02,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_02_spec_019,34_4_10_tray_02,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_02_spec_020,34_4_10_tray_02,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_02_spec_021,34_4_10_tray_02,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_02_spec_022,34_4_10_tray_02,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_02_spec_023,34_4_10_tray_02,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_02_spec_024,34_4_10_tray_02,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_02_spec_025,34_4_10_tray_02,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_02_spec_026,34_4_10_tray_02,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_02_spec_027,34_4_10_tray_02,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_02_spec_028,34_4_10_tray_02,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_02_spec_029,34_4_10_tray_02,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_02_spec_030,34_4_10_tray_02,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_02_spec_031,34_4_10_tray_02,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_02_spec_032,34_4_10_tray_02,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_03_spec_001,34_4_10_tray_03,United States of America,transcribed,United States of America,North America,33.6663442,-117.31919,transcribed,manual,,,,,,,,,,,,,,,,,
34_4_10_tray_03_spec_002,34_4_10_tray_03,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_03_spec_003,34_4_10_tray_03,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_03_spec_004,34_4_10_tray_03,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_03_spec_005,34_4_10_tray_03,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_03_spec_006,34_4_10_tray_03,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_03_spec_007,34_4_10_tray_03,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_03_spec_008,34_4_10_tray_03,United States of America,transcribed,United States of America,North America,,,transcribed,claude,,,,,,,,,,,,,,,,,
34_4_10_tray_03_spec_009,34_4_10_tray_03,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_03_spec_010,34_4_10_tray_03,United States of America,transcribed,United States of America,North America,,,transcribed,claude,,,,,,,,,,,,,,,,,
34_4_10_tray_03_spec_011,34_4_10_tray_03,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_03_spec_012,34_4_10_tray_03,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_03_spec_013,34_4_10_tray_03,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_03_spec_014,34_4_10_tray_03,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_03_spec_015,34_4_10_tray_03,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_03_spec_016,34_4_10_tray_03,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_03_spec_017,34_4_10_tray_03,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_03_spec_018,34_4_10_tray_03,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_03_spec_019,34_4_10_tray_03,United States of America,transcribed,United States of America,North America,,,transcribed,claude,,,,,,,,,,,,,,,,,
34_4_10_tray_03_spec_020,34_4_10_tray_03,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_03_spec_021,34_4_10_tray_03,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_03_spec_022,34_4_10_tray_03,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_03_spec_023,34_4_10_tray_03,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_03_spec_024,34_4_10_tray_03,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_03_spec_025,34_4_10_tray_03,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_03_spec_026,34_4_10_tray_03,United States of America,transcribed,United States of America,North America,,,transcribed,claude,,,,,,,,,,,,,,,,,
34_4_10_tray_03_spec_027,34_4_10_tray_03,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_03_spec_028,34_4_10_tray_03,United States of America,transcribed,United States of America,North America,,,transcribed,claude,,,,,,,,,,,,,,,,,
34_4_10_tray_03_spec_029,34_4_10_tray_03,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_03_spec_030,34_4_10_tray_03,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_03_spec_031,34_4_10_tray_03,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_03_spec_032,34_4_10_tray_03,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_03_spec_033,34_4_10_tray_03,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_03_spec_034,34_4_10_tray_03,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_04_spec_001,34_4_10_tray_04,,Poland,Poland,Europe,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_04_spec_002,34_4_10_tray_04,Poland,transcribed,Poland,Europe,52.1956988,21.1792957,transcribed,manual,,,,,,,,,,,,,,,,,
34_4_10_tray_04_spec_003,34_4_10_tray_04,,Poland,Poland,Europe,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_04_spec_004,34_4_10_tray_04,,Poland,Poland,Europe,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_04_spec_005,34_4_10_tray_04,,Poland,Poland,Europe,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_04_spec_006,34_4_10_tray_04,,Poland,Poland,Europe,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_04_spec_007,34_4_10_tray_04,,Poland,Poland,Europe,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_04_spec_008,34_4_10_tray_04,,Poland,Poland,Europe,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_04_spec_009,34_4_10_tray_04,,Poland,Poland,Europe,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_04_spec_010,34_4_10_tray_04,,Poland,Poland,Europe,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_04_spec_011,34_4_10_tray_04,Poland,transcribed,Poland,Europe,,,transcribed,claude,,,,,,,,,,,,,,,,,
34_4_10_tray_04_spec_012,34_4_10_tray_04,Poland,transcribed,Poland,Europe,,,transcribed,claude,,,,,,,,,,,,,,,,,
34_4_10_tray_04_spec_013,34_4_10_tray_04,,Poland,Poland,Europe,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_04_spec_014,34_4_10_tray_04,,Poland,Poland,Europe,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_04_spec_015,34_4_10_tray_04,,Poland,Poland,Europe,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_04_spec_016,34_4_10_tray_04,,Poland,Poland,Europe,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_04_spec_017,34_4_10_tray_04,,Poland,Poland,Europe,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_04_spec_018,34_4_10_tray_04,,Poland,Poland,Europe,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_04_spec_019,34_4_10_tray_04,,Poland,Poland,Europe,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_04_spec_020,34_4_10_tray_04,,Poland,Poland,Europe,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_04_spec_021,34_4_10_tray_04,,Poland,Poland,Europe,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_04_spec_022,34_4_10_tray_04,,Poland,Poland,Europe,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_04_spec_023,34_4_10_tray_04,,Poland,Poland,Europe,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_04_spec_024,34_4_10_tray_04,,Poland,Poland,Europe,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_04_spec_025,34_4_10_tray_04,,Poland,Poland,Europe,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_04_spec_026,34_4_10_tray_04,,Poland,Poland,Europe,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_04_spec_027,34_4_10_tray_04,,Poland,Poland,Europe,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_05_spec_001,34_4_10_tray_05,United States of America,transcribed,United States of America,North America,41.6228026,-87.190899,transcribed,manual,,,,,,,,,,,,,,,,,
34_4_10_tray_05_spec_002,34_4_10_tray_05,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_05_spec_003,34_4_10_tray_05,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_05_spec_004,34_4_10_tray_05,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_05_spec_005,34_4_10_tray_05,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_05_spec_006,34_4_10_tray_05,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_05_spec_007,34_4_10_tray_05,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_05_spec_008,34_4_10_tray_05,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_05_spec_009,34_4_10_tray_05,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_05_spec_010,34_4_10_tray_05,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_05_spec_011,34_4_10_tray_05,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_05_spec_012,34_4_10_tray_05,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_05_spec_013,34_4_10_tray_05,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_05_spec_014,34_4_10_tray_05,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_05_spec_015,34_4_10_tray_05,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_05_spec_016,34_4_10_tray_05,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_05_spec_017,34_4_10_tray_05,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_05_spec_018,34_4_10_tray_05,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_06_spec_001,34_4_10_tray_06,United States of America,transcribed,United States of America,North America,36.4653674,-118.02023,transcribed,manual,,,,,,,,,,,,,,,,,
34_4_10_tray_06_spec_002,34_4_10_tray_06,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_06_spec_003,34_4_10_tray_06,United States of America,transcribed,United States of America,North America,,,transcribed,claude,,,,,,,,,,,,,,,,,
34_4_10_tray_06_spec_004,34_4_10_tray_06,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_06_spec_005,34_4_10_tray_06,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_06_spec_006,34_4_10_tray_06,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_06_spec_007,34_4_10_tray_06,United States of America,transcribed,United States of America,North America,43.1808683,-119.0575065,transcribed,claude,,,,,,,,,,,,,,,,,
34_4_10_tray_06_spec_008,34_4_10_tray_06,United States of America,transcribed,United States of America,North America,43.1808683,-119.0575065,transcribed,claude,,,,,,,,,,,,,,,,,
34_4_10_tray_06_spec_009,34_4_10_tray_06,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_06_spec_010,34_4_10_tray_06,United States of America,transcribed,United States of America,North America,42.79107908,-115.7216965,transcribed,claude,,,,,,,,,,,,,,,,,
34_4_10_tray_06_spec_011,34_4_10_tray_06,United States of America,transcribed,United States of America,North America,42.79107908,-115.7216965,transcribed,claude,,,,,,,,,,,,,,,,,
34_4_10_tray_06_spec_012,34_4_10_tray_06,United States of America,transcribed,United States of America,North America,,,transcribed,claude,,,,,,,,,,,,,,,,,
34_4_10_tray_06_spec_013,34_4_10_tray_06,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_06_spec_014,34_4_10_tray_06,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_06_spec_015,34_4_10_tray_06,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_06_spec_016,34_4_10_tray_06,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_06_spec_017,34_4_10_tray_06,United States of America,transcribed,United States of America,North America,,,transcribed,claude,,,,,,,,,,,,,,,,,
34_4_10_tray_06_spec_018,34_4_10_tray_06,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_06_spec_019,34_4_10_tray_06,United States of America,transcribed,United States of America,North America,42.79107908,-115.7216965,transcribed,claude,,,,,,,,,,,,,,,,,
34_4_10_tray_06_spec_020,34_4_10_tray_06,United States of America,transcribed,United States of America,North America,42.79107908,-115.7216965,transcribed,claude,,,,,,,,,,,,,,,,,
34_4_10_tray_06_spec_021,34_4_10_tray_06,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_06_spec_022,34_4_10_tray_06,United States of America,transcribed,United States of America,North America,42.79107908,-115.7216965,transcribed,claude,,,,,,,,,,,,,,,,,
34_4_10_tray_06_spec_023,34_4_10_tray_06,United States of America,transcribed,United States of America,North America,42.79107908,-115.7216965,transcribed,claude,,,,,,,,,,,,,,,,,
34_4_10_tray_06_spec_024,34_4_10_tray_06,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_06_spec_025,34_4_10_tray_06,United States of America,transcribed,United States of America,North America,42.79107908,-115.7216965,transcribed,claude,,,,,,,,,,,,,,,,,
34_4_10_tray_06_spec_026,34_4_10_tray_06,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_06_spec_027,34_4_10_tray_06,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_06_spec_028,34_4_10_tray_06,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_06_spec_029,34_4_10_tray_06,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_06_spec_030,34_4_10_tray_06,United States of America,transcribed,United States of America,North America,45.92422396,-119.3054577,transcribed,claude,,,,,,,,,,,,,,,,,
34_4_10_tray_06_spec_031,34_4_10_tray_06,United States of America,transcribed,United States of America,North America,45.92422396,-119.3054577,transcribed,claude,,,,,,,,,,,,,,,,,
34_4_10_tray_07_spec_001,34_4_10_tray_07,United States of America,transcribed,United States of America,North America,45.257683,-86.984959,transcribed,manual,,,,,,,,,,,,,,,,,
34_4_10_tray_07_spec_002,34_4_10_tray_07,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_07_spec_003,34_4_10_tray_07,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_07_spec_004,34_4_10_tray_07,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_07_spec_005,34_4_10_tray_07,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_07_spec_006,34_4_10_tray_07,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_07_spec_007,34_4_10_tray_07,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_07_spec_008,34_4_10_tray_07,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_07_spec_009,34_4_10_tray_07,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_07_spec_010,34_4_10_tray_07,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_07_spec_011,34_4_10_tray_07,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_07_spec_012,34_4_10_tray_07,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_07_spec_013,34_4_10_tray_07,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_07_spec_014,34_4_10_tray_07,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_07_spec_015,34_4_10_tray_07,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_07_spec_016,34_4_10_tray_07,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_07_spec_017,34_4_10_tray_07,United States of America,transcribed,United States of America,North America,,,transcribed,claude,,,,,,,,,,,,,,,,,
34_4_10_tray_07_spec_018,34_4_10_tray_07,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_07_spec_019,34_4_10_tray_07,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_08_spec_001,34_4_10_tray_08,United States of America,transcribed,United States of America,North America,39.6154527,-86.286788,transcribed,manual,,,,,,,,,,,,,,,,,
34_4_10_tray_08_spec_002,34_4_10_tray_08,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_08_spec_003,34_4_10_tray_08,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_08_spec_004,34_4_10_tray_08,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_08_spec_005,34_4_10_tray_08,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
34_4_10_tray_08_spec_006,34_4_10_tray_08,,United States of America,United States of America,North America,,,estimate,none,,,,,,,,,,,,,,,,,
